CBO;OCUPACAO;GRUPO_AMOSTRAGEM;ANO;VINCULOS_ATIVOS_31_12;REMUNERACAO_MEDIA_NOMINAL;QTD_REMUNERACOES_VALIDAS;PERCENTUAL_REMUNERACOES_VALIDAS;REGISTROS_CBO;STATUS;ISCO_08;OCUPACAO_ISCO;EXPOSICAO_OIT_2025;SCORE_MEDIO_OIT;SD_OIT;CONFIANCA_CROSSWALK
513505;Auxiliar nos serviços de alimentação;BAIXA;2021;385598;1445,25;370120;95,99;637344;OK;9412;Kitchen Helpers;Not Exposed;0,13;0,02;FORTE
513505;Auxiliar nos serviços de alimentação;BAIXA;2022;463929;1729,86;420890;90,72;805972;OK;9412;Kitchen Helpers;Not Exposed;0,13;0,02;FORTE
513505;Auxiliar nos serviços de alimentação;BAIXA;2023;517274;1742,15;467377;90,35;921974;OK;9412;Kitchen Helpers;Not Exposed;0,13;0,02;FORTE
513505;Auxiliar nos serviços de alimentação;BAIXA;2024;556885;1868,51;497912;89,41;1027538;OK;9412;Kitchen Helpers;Not Exposed;0,13;0,02;FORTE
514320;Faxineiro;BAIXA;2019;1567159;1332,64;1474632;94,10;2308021;OK;9112;Cleaners and Helpers in Offices, Hotels and Other Establishments;Not Exposed;0,12;0,02;FORTE
514320;Faxineiro;BAIXA;2020;1579251;1312,15;1477849;93,58;2309460;OK;9112;Cleaners and Helpers in Offices, Hotels and Other Establishments;Not Exposed;0,12;0,02;FORTE
514320;Faxineiro;BAIXA;2021;1695363;1396,26;1598543;94,29;2522999;OK;9112;Cleaners and Helpers in Offices, Hotels and Other Establishments;Not Exposed;0,12;0,02;FORTE
514320;Faxineiro;BAIXA;2022;1913547;1639,91;1745275;91,21;2931448;OK;9112;Cleaners and Helpers in Offices, Hotels and Other Establishments;Not Exposed;0,12;0,02;FORTE
514320;Faxineiro;BAIXA;2023;2022154;1675,43;1809479;89,48;3183496;OK;9112;Cleaners and Helpers in Offices, Hotels and Other Establishments;Not Exposed;0,12;0,02;FORTE
514320;Faxineiro;BAIXA;2024;2105999;1794,95;1863360;88,48;3418463;OK;9112;Cleaners and Helpers in Offices, Hotels and Other Establishments;Not Exposed;0,12;0,02;FORTE
521110;Vendedor de comércio varejista;INTERMEDIARIA;2019;1874200;1843,63;1823647;97,30;2988936;OK;5223;Shop Sales Assistants;Gradient 1;0,38;0,16;FORTE
521110;Vendedor de comércio varejista;INTERMEDIARIA;2020;1751560;1830,73;1702704;97,21;2731090;OK;5223;Shop Sales Assistants;Gradient 1;0,38;0,16;FORTE
521110;Vendedor de comércio varejista;INTERMEDIARIA;2021;1815873;2036,74;1781876;98,13;2868127;OK;5223;Shop Sales Assistants;Gradient 1;0,38;0,16;FORTE
521110;Vendedor de comércio varejista;INTERMEDIARIA;2022;1934004;2534,02;1813470;93,77;3167912;OK;5223;Shop Sales Assistants;Gradient 1;0,38;0,16;FORTE
521110;Vendedor de comércio varejista;INTERMEDIARIA;2023;1942465;2426,53;1808377;93,10;3215272;OK;5223;Shop Sales Assistants;Gradient 1;0,38;0,16;FORTE
521110;Vendedor de comércio varejista;INTERMEDIARIA;2024;1957552;2606,76;1811059;92,52;3281409;OK;5223;Shop Sales Assistants;Gradient 1;0,38;0,16;FORTE
521125;Repositor de mercadorias;BAIXA;2019;529291;1364,01;510869;96,52;828607;OK;9334;Shelf Fillers;Not Exposed;0,2;0,1;FORTE
521125;Repositor de mercadorias;BAIXA;2020;549424;1342,08;525390;95,63;854986;OK;9334;Shelf Fillers;Not Exposed;0,2;0,1;FORTE
521125;Repositor de mercadorias;BAIXA;2021;567879;1406,77;548056;96,51;922419;OK;9334;Shelf Fillers;Not Exposed;0,2;0,1;FORTE
521125;Repositor de mercadorias;BAIXA;2022;584774;1692,53;547266;93,59;999065;OK;9334;Shelf Fillers;Not Exposed;0,2;0,1;FORTE
521125;Repositor de mercadorias;BAIXA;2023;597116;1644,86;556956;93,27;1044931;OK;9334;Shelf Fillers;Not Exposed;0,2;0,1;FORTE
521125;Repositor de mercadorias;BAIXA;2024;609507;1737,44;562785;92,33;1117473;OK;9334;Shelf Fillers;Not Exposed;0,2;0,1;FORTE
715210;Pedreiro;BAIXA;2019;288779;1920,49;258303;89,45;583804;OK;7112;Bricklayers and Related Workers;Not Exposed;0,09;0,01;FORTE
715210;Pedreiro;BAIXA;2020;288856;1884,41;256679;88,86;569507;OK;7112;Bricklayers and Related Workers;Not Exposed;0,09;0,01;FORTE
715210;Pedreiro;BAIXA;2021;314938;1995,94;287319;91,23;630670;OK;7112;Bricklayers and Related Workers;Not Exposed;0,09;0,01;FORTE
715210;Pedreiro;BAIXA;2022;375805;3150,53;320143;85,19;759786;OK;7112;Bricklayers and Related Workers;Not Exposed;0,09;0,01;FORTE
715210;Pedreiro;BAIXA;2023;401589;2404,37;337901;84,14;816941;OK;7112;Bricklayers and Related Workers;Not Exposed;0,09;0,01;FORTE
715210;Pedreiro;BAIXA;2024;412641;2573,06;342176;82,92;859197;OK;7112;Bricklayers and Related Workers;Not Exposed;0,09;0,01;FORTE
717020;Servente de obras;BAIXA;2019;514111;1449,44;464346;90,32;1062649;OK;9313;Building Construction Labourers;Not Exposed;0,09;0,02;FORTE
717020;Servente de obras;BAIXA;2020;540368;1420,73;486651;90,06;1091220;OK;9313;Building Construction Labourers;Not Exposed;0,09;0,02;FORTE
717020;Servente de obras;BAIXA;2021;586266;1494,11;541557;92,37;1246589;OK;9313;Building Construction Labourers;Not Exposed;0,09;0,02;FORTE
717020;Servente de obras;BAIXA;2022;679338;2156,28;592278;87,18;1470344;OK;9313;Building Construction Labourers;Not Exposed;0,09;0,02;FORTE
717020;Servente de obras;BAIXA;2023;706385;1813,05;608378;86,13;1547864;OK;9313;Building Construction Labourers;Not Exposed;0,09;0,02;FORTE
717020;Servente de obras;BAIXA;2024;704924;1936,61;596172;84,57;1609517;OK;9313;Building Construction Labourers;Not Exposed;0,09;0,02;FORTE
782220;Operador de empilhadeira;BAIXA;2019;141404;2349,05;136077;96,23;190176;OK;8344;Lifting Truck Operators;Not Exposed;0,2;0,1;FORTE
782220;Operador de empilhadeira;BAIXA;2020;149603;2332,05;144486;96,58;201982;OK;8344;Lifting Truck Operators;Not Exposed;0,2;0,1;FORTE
782220;Operador de empilhadeira;BAIXA;2021;162309;2492,92;157953;97,32;222910;OK;8344;Lifting Truck Operators;Not Exposed;0,2;0,1;FORTE
782220;Operador de empilhadeira;BAIXA;2022;172087;3022,94;165944;96,43;244447;OK;8344;Lifting Truck Operators;Not Exposed;0,2;0,1;FORTE
782220;Operador de empilhadeira;BAIXA;2023;181591;2895,67;174812;96,27;255956;OK;8344;Lifting Truck Operators;Not Exposed;0,2;0,1;FORTE
782220;Operador de empilhadeira;BAIXA;2024;194470;3076,45;186768;96,04;282618;OK;8344;Lifting Truck Operators;Not Exposed;0,2;0,1;FORTE
782510;Motorista de caminhão (rotas regionais e internacionais);BAIXA;2019;865468;2453,79;816031;94,29;1277843;OK;8332;Heavy Truck and Lorry Drivers;Minimal Exposure;0,24;0,22;FORTE
782510;Motorista de caminhão (rotas regionais e internacionais);BAIXA;2020;907201;2442,20;854571;94,20;1323053;OK;8332;Heavy Truck and Lorry Drivers;Minimal Exposure;0,24;0,22;FORTE
782510;Motorista de caminhão (rotas regionais e internacionais);BAIXA;2021;972075;2598,56;931229;95,80;1461392;OK;8332;Heavy Truck and Lorry Drivers;Minimal Exposure;0,24;0,22;FORTE
782510;Motorista de caminhão (rotas regionais e internacionais);BAIXA;2022;1085538;3158,53;1016234;93,62;1641859;OK;8332;Heavy Truck and Lorry Drivers;Minimal Exposure;0,24;0,22;FORTE
782510;Motorista de caminhão (rotas regionais e internacionais);BAIXA;2023;1152587;3175,09;1074992;93,27;1769710;OK;8332;Heavy Truck and Lorry Drivers;Minimal Exposure;0,24;0,22;FORTE
782510;Motorista de caminhão (rotas regionais e internacionais);BAIXA;2024;1202649;3415,02;1117835;92,95;1888334;OK;8332;Heavy Truck and Lorry Drivers;Minimal Exposure;0,24;0,22;FORTE
